ocel_id;ocel_time;rain condition
enter_tr29_Pcp263;2024-05-18 13:03:33;Have Rain
enter_tr19_Pcp186;2024-05-18 13:12:22;Have Rain
enter_tr44_Pcp124;2024-05-18 13:22:18;Have Rain
enter_tr4_Pcp240;2024-05-18 13:30:37;Have Rain
enter_tr18_Pcp285;2024-05-18 13:33:26;Have Rain
enter_tr31_Pcp469;2024-05-18 13:33:29;Have Rain
enter_tr17_Pcp433;2024-05-18 13:35:33;Have Rain
enter_tr11_Pcp398;2024-05-18 13:41:02;Have Rain
enter_tr42_Pcp315;2024-05-18 13:41:30;Have Rain
enter_tr49_Pcp152;2024-05-18 13:48:33;Have Rain
enter_tr45_Pcp170;2024-05-18 13:50:57;Have Rain
enter_tr37_Pcp85;2024-05-18 14:16:34;No Rain
enter_tr23_Pcp64;2024-05-18 14:36:05;No Rain
enter_tr1_Pcp314;2024-05-18 14:38:53;No Rain
enter_tr43_Pcp306;2024-05-18 15:02:00;No Rain
enter_tr8_Pcp430;2024-05-18 15:03:35;No Rain
enter_tr27_Pcp107;2024-05-18 15:06:45;No Rain
enter_tr6_Pcp166;2024-05-18 15:18:23;No Rain
enter_tr9_Pcp464;2024-05-18 15:33:37;No Rain
enter_tr28_Pcp460;2024-05-18 15:42:03;No Rain
enter_tr14_Pcp311;2024-05-18 15:50:45;No Rain
enter_tr39_Pcp450;2024-05-18 15:59:56;No Rain
enter_tr24_Pcp46;2024-05-18 16:03:13;No Rain
enter_tr26_Pcp388;2024-05-18 16:23:23;No Rain
enter_tr16_Pcp172;2024-05-18 16:33:58;No Rain
enter_tr5_Pcp303;2024-05-18 17:09:08;Have Rain
enter_tr41_Pcp217;2024-05-18 18:00:14;No Rain
enter_tr48_Pcp192;2024-05-18 18:30:56;No Rain
enter_tr34_Pcp425;2024-05-18 18:51:42;No Rain
enter_tr47_Pcp156;2024-05-18 19:59:35;No Rain
enter_tr13_Pcp7;2024-05-18 20:24:21;No Rain
enter_tr2_Pcp314;2024-05-18 20:58:48;No Rain
enter_tr50_Pcp443;2024-05-18 21:32:39;Have Rain
enter_tr36_Pcp443;2024-05-18 22:16:22;Have Rain
enter_tr22_Pcp470;2024-05-18 22:25:33;Have Rain
enter_tr12_Pcp168;2024-05-19 00:01:39;No Rain
enter_tr3_Pcp156;2024-05-19 00:57:05;No Rain
enter_tr30_Pcp237;2024-05-20 12:11:02;No Rain
enter_tr32_Pcp9;2024-05-20 12:32:53;No Rain
enter_tr21_Pcp388;2024-05-20 12:39:28;No Rain
enter_tr10_Pcp413;2024-05-20 12:52:44;No Rain
enter_tr33_Pcp410;2024-05-20 13:10:03;No Rain
enter_tr15_Pcp116;2024-05-20 13:19:09;No Rain
enter_tr20_Pcp141;2024-05-20 13:38:16;No Rain
enter_tr19_Pcp159;2024-05-20 13:56:30;No Rain
enter_tr29_Pcp196;2024-05-20 13:57:54;No Rain
enter_tr38_Pcp343;2024-05-20 13:59:04;No Rain
enter_tr25_Pcp226;2024-05-20 13:59:40;No Rain
enter_tr7_Pcp12;2024-05-20 14:09:33;No Rain
enter_tr4_Pcp490;2024-05-20 14:12:06;No Rain
enter_tr40_Pcp187;2024-05-20 14:13:48;No Rain
enter_tr35_Pcp193;2024-05-20 14:21:29;No Rain
enter_tr31_Pcp22;2024-05-20 14:27:38;No Rain
enter_tr18_Pcp214;2024-05-20 14:28:09;No Rain
enter_tr46_Pcp96;2024-05-20 14:33:10;No Rain
enter_tr49_Pcp429;2024-05-20 14:37:04;No Rain
enter_tr42_Pcp48;2024-05-20 14:39:29;No Rain
enter_tr11_Pcp465;2024-05-20 14:59:00;No Rain
enter_tr37_Pcp464;2024-05-20 15:06:39;No Rain
enter_tr1_Pcp161;2024-05-20 15:24:53;No Rain
enter_tr44_Pcp126;2024-05-20 15:55:13;No Rain
enter_tr45_Pcp126;2024-05-20 16:08:21;Have Rain
enter_tr6_Pcp466;2024-05-20 16:11:26;Have Rain
enter_tr14_Pcp291;2024-05-20 16:12:15;Have Rain
enter_tr9_Pcp291;2024-05-20 16:25:56;Have Rain
enter_tr27_Pcp162;2024-05-20 16:27:02;Have Rain
enter_tr17_Pcp343;2024-05-20 16:28:00;Have Rain
enter_tr43_Pcp428;2024-05-20 16:47:37;Have Rain
enter_tr23_Pcp198;2024-05-20 16:48:14;Have Rain
enter_tr28_Pcp467;2024-05-20 16:54:50;Have Rain
enter_tr24_Pcp187;2024-05-20 17:16:20;No Rain
enter_tr8_Pcp138;2024-05-20 17:19:19;No Rain
enter_tr26_Pcp414;2024-05-20 17:33:45;No Rain
enter_tr39_Pcp374;2024-05-20 17:48:34;No Rain
enter_tr5_Pcp453;2024-05-20 17:50:23;No Rain
enter_tr16_Pcp279;2024-05-20 18:05:00;Have Rain
enter_tr41_Pcp102;2024-05-20 19:53:01;Have Rain
enter_tr48_Pcp433;2024-05-20 20:09:04;No Rain
enter_tr34_Pcp93;2024-05-20 20:24:53;No Rain
enter_tr47_Pcp224;2024-05-20 20:55:44;No Rain
enter_tr13_Pcp166;2024-05-20 22:15:31;No Rain
enter_tr2_Pcp93;2024-05-20 22:35:17;No Rain
enter_tr50_Pcp66;2024-05-20 23:11:22;No Rain
enter_tr36_Pcp230;2024-05-20 23:29:31;No Rain
enter_tr22_Pcp220;2024-05-21 00:56:38;No Rain
enter_tr12_Pcp383;2024-05-21 01:03:18;No Rain
enter_tr3_Pcp394;2024-05-21 02:37:44;No Rain
enter_tr30_Pcp345;2024-05-22 13:42:13;Have Rain
enter_tr21_Pcp382;2024-05-22 13:54:31;Have Rain
enter_tr32_Pcp158;2024-05-22 13:56:37;Have Rain
enter_tr10_Pcp346;2024-05-22 13:58:52;Have Rain
enter_tr29_Pcp50;2024-05-22 14:31:42;No Rain
enter_tr20_Pcp138;2024-05-22 14:43:37;No Rain
enter_tr33_Pcp290;2024-05-22 14:51:38;No Rain
enter_tr7_Pcp414;2024-05-22 15:03:45;No Rain
enter_tr31_Pcp478;2024-05-22 15:22:35;No Rain
enter_tr38_Pcp334;2024-05-22 15:29:45;No Rain
enter_tr42_Pcp145;2024-05-22 15:31:49;No Rain
enter_tr35_Pcp344;2024-05-22 15:34:54;No Rain
enter_tr46_Pcp498;2024-05-22 15:36:30;No Rain
enter_tr18_Pcp134;2024-05-22 15:37:47;No Rain
enter_tr49_Pcp252;2024-05-22 15:45:27;No Rain
enter_tr4_Pcp230;2024-05-22 15:48:24;No Rain
enter_tr15_Pcp280;2024-05-22 15:50:43;No Rain
enter_tr19_Pcp479;2024-05-22 16:03:33;No Rain
enter_tr11_Pcp419;2024-05-22 16:03:50;No Rain
enter_tr37_Pcp331;2024-05-22 16:14:42;No Rain
enter_tr1_Pcp12;2024-05-22 16:27:07;No Rain
enter_tr40_Pcp345;2024-05-22 16:54:40;No Rain
enter_tr6_Pcp185;2024-05-22 17:00:14;No Rain
enter_tr27_Pcp370;2024-05-22 17:01:49;No Rain
enter_tr25_Pcp20;2024-05-22 17:02:56;No Rain
enter_tr17_Pcp4;2024-05-22 17:13:53;No Rain
enter_tr45_Pcp263;2024-05-22 17:30:13;No Rain
enter_tr8_Pcp435;2024-05-22 17:46:20;No Rain
enter_tr14_Pcp95;2024-05-22 17:55:31;No Rain
enter_tr24_Pcp174;2024-05-22 17:56:36;No Rain
enter_tr23_Pcp174;2024-05-22 17:58:05;No Rain
enter_tr43_Pcp170;2024-05-22 18:00:34;No Rain
enter_tr44_Pcp9;2024-05-22 18:00:56;No Rain
enter_tr28_Pcp380;2024-05-22 18:03:24;No Rain
enter_tr9_Pcp478;2024-05-22 18:09:58;No Rain
